,datahora,satelite,latitude,longitude,diasemchuva,precipitacao,riscofogo,frp
61,2019/11/24 16:08:18,NOAA-20,-3.84534,-38.48989,-999.0,0.0,-999.0,
0,2016/02/18 13:41:00,TERRA_M-T,-3.716,-38.573,0.0,15.9,-999.0,
1,2016/08/14 16:22:00,AQUA_M-T,-3.857,-38.539,22.0,0.0,1.0,
2,2016/08/23 16:16:00,AQUA_M-T,-3.857,-38.544,31.0,0.0,1.0,
3,2016/08/24 16:26:00,NPP-375,-3.85192,-38.54787,32.0,0.0,1.0,
4,2016/09/09 16:26:00,NPP-375,-3.85863,-38.52669,48.0,0.0,1.0,
5,2016/09/10 16:04:00,AQUA_M-T,-3.803,-38.523,49.0,0.0,-999.0,
6,2016/09/17 15:36:00,NPP-375,-3.79806,-38.48568,-999.0,0.1,-999.0,
7,2016/09/17 15:36:00,NPP-375,-3.79931,-38.48203,-999.0,0.1,-999.0,
8,2016/09/17 16:10:00,AQUA_M-T,-3.804,-38.489,-999.0,0.1,-999.0,
9,2016/09/17 16:10:00,AQUA_M-T,-3.803,-38.481,-999.0,0.1,-999.0,
10,2016/10/05 13:04:00,TERRA_M-T,-3.806,-38.538,19.0,0.0,-999.0,
11,2016/10/05 13:04:00,TERRA_M-T,-3.735,-38.583,22.0,0.0,-999.0,
12,2016/10/19 15:36:00,NPP-375,-3.85662,-38.54629,33.0,0.0,1.0,
13,2016/10/28 16:07:00,NPP-375,-3.79841,-38.52505,2.0,0.0,1.0,
14,2016/11/02 16:14:00,NPP-375,-3.71521,-38.55091,7.0,0.0,-999.0,
15,2016/11/22 15:58:00,AQUA_M-T,-3.804,-38.556,28.0,0.0,-999.0,
16,2016/11/22 16:39:00,NPP-375,-3.80069,-38.55727,28.0,0.0,-999.0,
17,2016/11/18 16:14:00,NPP-375,-3.84632,-38.57125,23.0,0.0,-999.0,
18,2016/12/10 16:01:00,NPP-375,-3.77032,-38.50859,5.0,0.0,-999.0,
19,2016/12/27 21:16:18,NOAA-18,-3.8619,-38.4779,-999.0,0.0,1.0,
20,2016/08/07 16:16:00,AQUA_M-T,-3.847,-38.548,15.0,0.0,1.0,
21,2016/08/04 20:59:19,NOAA-18,-3.782,-38.529,26.0,0.0,1.0,
22,2016/11/24 16:01:00,NPP-375,-3.82491,-38.53349,29.0,0.0,-999.0,
23,2016/08/23 16:45:00,NPP-375,-3.85129,-38.5442,31.0,0.0,1.0,
24,2016/09/17 15:36:00,NPP-375,-3.79994,-38.48647,-999.0,0.1,-999.0,
25,2016/08/17 04:19:00,NPP-375,-3.82324,-38.48936,-999.0,0.0,-999.0,
26,2016/11/26 15:24:00,NPP-375,-3.84411,-38.54474,31.0,0.0,1.0,
27,2016/08/07 16:45:00,NPP-375,-3.84681,-38.54564,15.0,0.0,1.0,
28,2016/10/05 16:39:00,NPP-375,-3.77493,-38.48059,-999.0,0.1,-999.0,
29,2016/08/01 15:17:00,NPP-375,-3.8057,-38.61887,15.0,0.0,-999.0,
30,2016/07/13 16:14:00,NPP-375,-3.7763,-38.49373,-999.0,0.0,-999.0,
31,2016/08/07 16:45:00,NPP-375,-3.84605,-38.54112,15.0,0.0,1.0,
32,2016/06/04 04:07:00,NPP-375,-3.81933,-38.45592,-999.0,0.0,0.4,
33,2016/08/04 20:59:19,NOAA-18,-3.784,-38.538,26.0,0.0,-999.0,
34,2016/09/15 16:13:00,NPP-375,-3.83082,-38.4615,-999.0,0.0,1.0,
35,2016/10/16 16:32:00,NPP-375,-3.86191,-38.53242,30.0,0.0,1.0,
